Boro,Size,Latitude,Longitude
B,0.034,40.671292,-73.882217
X,0.241,40.822057,-73.908481
M,0.034,40.799617,-73.937963
X,0.252,40.82664,-73.893877
M,0.082,40.722038,-73.97961
X,NA,40.81478,-73.914459
B,0.055,40.690708,-73.927603
M,0.052,40.800487,-73.943961
M,0.12,40.72149,-73.98216
B,0.172,40.691653,-73.925825
B,0.092,40.649609,-73.897009
B,0.138,40.671728,-73.890057
B,0.019,40.658459,-73.901057
B,0.115,40.712955,-73.939721
B,0.58,40.671827,-73.920811
B,0.172,40.702631,-73.948631
B,0.505,40.659475,-73.895603
B,0.193,40.678319,-73.967513
M,0.054,40.796474,-73.9474
X,0.174,40.823086,-73.914947
B,0.163,40.670152,-73.923242
B,0.086,40.693796,-73.948905
B,NA,40.672562,-74.008692
M,0.063,40.72859,-73.978637
M,0.057,40.809144,-73.942758
X,0.44,40.842204,-73.876529
X,0.254,40.839017,-73.922729
B,0.158,40.646757,-73.952588
M,0.04,40.723877,-73.97835
B,0.141,40.576242,-73.988189
X,0.032,40.82331,-73.899259
Q,0.138,40.595964,-73.763133
B,0.083,40.678834,-73.927378
M,0.05,40.722464,-73.980569
B,NA,40.575997,-73.986807
M,0.091,40.826254,-73.947965
B,0.087,40.660557,-73.893175
X,0.195,40.837275,-73.913574
X,0.11,40.828252,-73.91911
B,0.074,40.686076,-73.945381
B,0.145,40.675795,-73.915903
B,0.351,40.674829,-73.926867
X,0.023,40.81825,-73.91103
B,0.043,40.691602,-73.954593
X,0.029,40.817078,-73.911494
B,0.183,40.667535,-73.893737
B,0.089,40.670169,-73.92352
B,0.075,40.67871,-73.96929
B,0.033,40.684681,-73.950996
B,0.918,40.664659,-73.897865
M,0.053,40.720933,-73.985083
M,0.069,40.826462,-73.941811
B,0.103,40.682578,-74.003869
B,0.057,40.680246,-73.917693
B,0.115,40.70508,-73.944013
B,NA,40.572905,-73.994741
X,0.49,40.832559,-73.928305
X,0.253,40.832284,-73.927189
B,0.092,40.692061,-73.955631
M,0.163,40.79645,-73.934347
M,0.142,40.796357,-73.934119
B,0.114,40.709598,-73.950072
B,0.036,40.667777,-73.895164
B,0.172,40.672509,-73.900636
X,0.15,40.846592,-73.910938
